month,threshold,total_opportunities,valid_observations,invalid_observations,availability_pct
6,50,18,1,17,5.555555555555555
6,60,18,1,17,5.555555555555555
6,70,18,1,17,5.555555555555555
6,80,18,1,17,5.555555555555555
6,90,18,1,17,5.555555555555555
7,50,18,4,14,22.22222222222222
7,60,18,4,14,22.22222222222222
7,70,18,4,14,22.22222222222222
7,80,18,4,14,22.22222222222222
7,90,18,0,18,0.0
8,50,18,2,16,11.11111111111111
8,60,18,2,16,11.11111111111111
8,70,18,1,17,5.555555555555555
8,80,18,1,17,5.555555555555555
8,90,18,1,17,5.555555555555555
9,50,18,7,11,38.88888888888889
9,60,18,6,12,33.33333333333333
9,70,18,5,13,27.77777777777778
9,80,18,5,13,27.77777777777778
9,90,18,5,13,27.77777777777778
10,50,18,8,10,44.44444444444444
10,60,18,8,10,44.44444444444444
10,70,18,8,10,44.44444444444444
10,80,18,5,13,27.77777777777778
10,90,18,5,13,27.77777777777778
11,50,16,11,5,68.75
11,60,16,11,5,68.75
11,70,16,10,6,62.5
11,80,16,10,6,62.5
11,90,16,10,6,62.5
12,50,20,14,6,70.0
12,60,20,13,7,65.0
12,70,20,13,7,65.0
12,80,20,12,8,60.0
12,90,20,10,10,50.0
