year,threshold,valid_dates,number_of_intervals,mean_interval_days,median_interval_days,maximum_interval_days,minimum_interval_days
2022,50,19,18,9.444444444444445,5.0,30.0,5.0
2023,50,13,12,17.083333333333332,12.5,55.0,5.0
2024,50,15,14,8.571428571428571,5.0,20.0,5.0
2022,60,18,17,10.0,5.0,30.0,5.0
2023,60,13,12,17.083333333333332,12.5,55.0,5.0
2024,60,14,13,8.846153846153847,5.0,20.0,5.0
2022,70,17,16,10.625,5.0,30.0,5.0
2023,70,13,12,17.083333333333332,12.5,55.0,5.0
2024,70,12,11,10.454545454545455,10.0,20.0,5.0
2022,80,16,15,11.333333333333334,5.0,40.0,5.0
2023,80,12,11,18.636363636363637,15.0,55.0,5.0
2024,80,10,9,12.777777777777779,10.0,40.0,5.0
2022,90,13,12,10.833333333333334,5.0,40.0,5.0
2023,90,10,9,22.77777777777778,10.0,90.0,5.0
2024,90,9,8,13.75,10.0,40.0,5.0
