system:index,clear_pct,clear_pixel_count,date,doy,month,ndvi_mean,ndvi_median,scene_cloud_pct,spacecraft,total_cropland_pixel_count,year,.geo
1_1_20220605T042711_20220605T043826_T46RCN,0.0,0.0,2022-06-05,156,6,,,96.697903,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220610T042709_20220610T043813_T46RCN,0.0,0.0,2022-06-10,161,6,,,99.966294,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220615T042711_20220615T043829_T46RCN,0.0,0.0,2022-06-15,166,6,,,100.0,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220620T042709_20220620T043815_T46RCN,0.0,0.0,2022-06-20,171,6,,,98.649281,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220625T042721_20220625T043831_T46RCN,0.0,0.0,2022-06-25,176,6,,,91.164434,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220630T042709_20220630T043341_T46RCN,0.0,0.0,2022-06-30,181,6,,,99.999988,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220705T042721_20220705T043814_T46RCN,85.2492606119392,87682.27450980394,2022-07-05,186,7,-0.030819102917901218,-0.042957072913891135,81.037593,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220710T042709_20220710T043815_T46RCN,81.44750392427571,83772.01568627454,2022-07-10,191,7,-0.01961025205596676,0.019688059487816125,44.629207,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220715T042721_20220715T043157_T46RCN,83.16677704585642,85540.35686274516,2022-07-15,196,7,0.12603480997066266,0.12890644523819672,31.133172,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220720T042709_20220720T043815_T46RCN,0.0,0.0,2022-07-20,201,7,,,95.30859,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220725T042711_20220725T043814_T46RCN,0.0,0.0,2022-07-25,206,7,,,99.999857,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220730T042709_20220730T043815_T46RCN,0.0,0.0,2022-07-30,211,7,,,99.997032,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220804T042711_20220804T043814_T46RCN,0.0,0.0,2022-08-04,216,8,,,99.413741,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220809T042709_20220809T043814_T46RCN,0.0,0.0,2022-08-09,221,8,,,93.837672,Sentinel-2B,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20220814T042721_20220814T043755_T46RCN,96.40617940450146,99157.61176470593,2022-08-14,226,8,0.28314159222145086,0.2538586825888227,58.745968,Sentinel-2A,102854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
