system:index,NDVI,date,.geo
20230109T044139_20230109T044620_T45RYH,0.5336094848521544,2023-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230119T044119_20230119T044439_T45RYH,0.37912248529182313,2023-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230124T044101_20230124T044838_T45RYH,0.5700657346489125,2023-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230203T044011_20230203T044612_T45RYH,0.5361620472434688,2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230213T043911_20230213T044313_T45RYH,0.4813299459430147,2023-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230218T043839_20230218T045056_T45RYH,0.39920414175101504,2023-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230228T043729_20230228T044920_T45RYH,0.2862522527376131,2023-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230305T043701_20230305T044808_T45RYH,0.2076052220177076,2023-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230315T043701_20230315T044552_T45RYH,0.33347682133118045,2023-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230409T043709_20230409T044615_T45RYH,0.7460599035300418,2023-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230414T043701_20230414T044710_T45RYH,0.7451552307941619,2023-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230419T043659_20230419T044802_T45RYH,0.7872057360382985,2023-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230424T043701_20230424T044507_T45RYH,0.760674968765662,2023-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230524T043701_20230524T044956_T45RYH,0.5859358181374474,2023-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231031T043921_20231031T044717_T45RYH,0.7311708193000445,2023-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231105T043949_20231105T045031_T45RYH,0.6774468489984193,2023-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231110T044021_20231110T044753_T45RYH,0.6275257083412938,2023-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231120T044101_20231120T044059_T45RYH,0.5283337752774513,2023-11-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
